from_framework,from_code,to_framework,to_code,relation,from_grade,to_grade,match_key,confidence_note,from_text,to_text,from_source_url,to_source_url
CA-CCSS-ELA-2013,L.K.3,CA-CCSS-ELA-2013,L.1.3,,0,1,L | 3 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,(Begins in grade 2),(Begins in grade 2),https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.1.3,CA-CCSS-ELA-2013,L.2.3,,1,2,L | 3 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,(Begins in grade 2),"Use knowledge of language and its conventions when writing, speaking, reading, or listening. a. Compare formal and informal uses of English.",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.2.3,CA-CCSS-ELA-2013,L.3.3,,2,3,L | 3 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Use knowledge of language and its conventions when writing, speaking, reading, or listening. a. Compare formal and informal uses of English.","Use knowledge of language and its conventions when writing, speaking, reading, or listening. a. Choose words and phrases for effect.* b. Recognize and observe differences between the conventions of spoken and written standard English. Footnote: Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.3.3,CA-CCSS-ELA-2013,L.4.3,,3,4,L | 3 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Use knowledge of language and its conventions when writing, speaking, reading, or listening. a. Choose words and phrases for effect.* b. Recognize and observe differences between the conventions of spoken and written standard English. Footnote: Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*).","Use knowledge of language and its conventions when writing, speaking, reading, or listening. a. Choose words and phrases to convey ideas precisely.* b. Choose punctuation for effect.* c. Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion). Footnote: Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.4.3,CA-CCSS-ELA-2013,L.5.3,,4,5,L | 3 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Use knowledge of language and its conventions when writing, speaking, reading, or listening. a. Choose words and phrases to convey ideas precisely.* b. Choose punctuation for effect.* c. Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion). Footnote: Beginning in grade 3, skills and understandings that are particularly likely to require continued attention in higher grades as they are applied to increasingly sophisticated writing and speaking are marked with an asterisk (*).","Use knowledge of language and its conventions when writing, speaking, reading, or listening. a. Expand, combine, and reduce sentences for meaning, reader/listener interest, and style. b. Compare and contrast the varieties of English (e.g., dialects, registers) used in stories, dramas, or poems.",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.K.4,CA-CCSS-ELA-2013,L.1.4,,0,1,L | 4 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content. a. Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck). b. Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word","Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies. a. Use sentence-level context as a clue to the meaning of a word or phrase. b. Use frequently occurring affixes as a clue to the meaning of a word. c. Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.1.4,CA-CCSS-ELA-2013,L.2.4,,1,2,L | 4 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies. a. Use sentence-level context as a clue to the meaning of a word or phrase. b. Use frequently occurring affixes as a clue to the meaning of a word. c. Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking).","Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies. a. Use sentence-level context as a clue to the meaning of a word or phrase. b. Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., happy/unhappy, tell/retell). c. Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., addition, additional). d. Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g., birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark). e. Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases in all content areas. CA",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.2.4,CA-CCSS-ELA-2013,L.3.4,,2,3,L | 4 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies. a. Use sentence-level context as a clue to the meaning of a word or phrase. b. Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., happy/unhappy, tell/retell). c. Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., addition, additional). d. Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g., birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark). e. Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases in all content areas. CA","Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies. a. Use sentence-level context as a clue to the meaning of a word or phrase. b. Determine the meaning of the new word formed when a known affix is added to a known word (e.g., agreeable/disagreeable, comfortable/uncomfortable, care/careless, heat/preheat). c. Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., company, companion). d. Use glossaries or beginning dictionaries, both print and digital, to determine or clarify the precise meaning of key words and phrases in all content areas. CA",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.3.4,CA-CCSS-ELA-2013,L.4.4,,3,4,L | 4 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies. a. Use sentence-level context as a clue to the meaning of a word or phrase. b. Determine the meaning of the new word formed when a known affix is added to a known word (e.g., agreeable/disagreeable, comfortable/uncomfortable, care/careless, heat/preheat). c. Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., company, companion). d. Use glossaries or beginning dictionaries, both print and digital, to determine or clarify the precise meaning of key words and phrases in all content areas. CA","Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 4 reading and content, choosing flexibly from a range of strategies. a. Use context (e.g., definitions, examples, or restatements in text) as a clue to the meaning of a word or phrase. b. Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., telegraph, photograph, autograph). c. Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases and to identify alternate word choices in all content areas. CA",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.4.4,CA-CCSS-ELA-2013,L.5.4,,4,5,L | 4 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 4 reading and content, choosing flexibly from a range of strategies. a. Use context (e.g., definitions, examples, or restatements in text) as a clue to the meaning of a word or phrase. b. Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., telegraph, photograph, autograph). c. Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases and to identify alternate word choices in all content areas. CA","Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 5 reading and content, choosing flexibly from a range of strategies. a. Use context (e.g., cause/effect relationships and comparisons in text) as a clue to the meaning of a word or phrase. b. Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., photograph, photosynthesis). c. Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases and to identify alternate word choices in all content areas. CA",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.K.5,CA-CCSS-ELA-2013,L.1.5,,0,1,L | 5 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"With guidance and support from adults, explore word relationships and nuances in word meanings. a. Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent. b. Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms). c. Identify real-life connections between words and their use (e.g., note places at school that are colorful). d. Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings.","With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings. a. Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent. b. Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes). c. Identify real-life connections between words and their use (e.g., note places at home that are cozy). d. Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings.",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.1.5,CA-CCSS-ELA-2013,L.2.5,,1,2,L | 5 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings. a. Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent. b. Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes). c. Identify real-life connections between words and their use (e.g., note places at home that are cozy). d. Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings.","Demonstrate understanding of word relationships and nuances in word meanings. a. Identify real-life connections between words and their use (e.g., describe foods that are spicy or juicy). b. Distinguish shades of meaning among closely related verbs (e.g., toss, throw, hurl) and closely related adjectives (e.g., thin, slender, skinny, scrawny).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.2.5,CA-CCSS-ELA-2013,L.3.5,,2,3,L | 5 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate understanding of word relationships and nuances in word meanings. a. Identify real-life connections between words and their use (e.g., describe foods that are spicy or juicy). b. Distinguish shades of meaning among closely related verbs (e.g., toss, throw, hurl) and closely related adjectives (e.g., thin, slender, skinny, scrawny).","Demonstrate understanding of word relationships and nuances in word meanings. a. Distinguish the literal and non-literal meanings of words and phrases in context (e.g., take steps). b. Identify real-life connections between words and their use (e.g., describe people who are friendly or helpful). c. Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., knew, believed, suspected, heard, wondered).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.3.5,CA-CCSS-ELA-2013,L.4.5,,3,4,L | 5 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate understanding of word relationships and nuances in word meanings. a. Distinguish the literal and non-literal meanings of words and phrases in context (e.g., take steps). b. Identify real-life connections between words and their use (e.g., describe people who are friendly or helpful). c. Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., knew, believed, suspected, heard, wondered).","Demonstrate understanding of figurative language, word relationships, and nuances in word meanings. a. Explain the meaning of simple similes and metaphors (e.g., as pretty as a picture) in context. b. Recognize and explain the meaning of common idioms, adages, and proverbs. c. Demonstrate understanding of words by relating them to their opposites (antonyms) and to words with similar but not identical meanings (synonyms).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.4.5,CA-CCSS-ELA-2013,L.5.5,,4,5,L | 5 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings. a. Explain the meaning of simple similes and metaphors (e.g., as pretty as a picture) in context. b. Recognize and explain the meaning of common idioms, adages, and proverbs. c. Demonstrate understanding of words by relating them to their opposites (antonyms) and to words with similar but not identical meanings (synonyms).","Demonstrate understanding of figurative language, word relationships, and nuances in word meanings. a. Interpret figurative language, including similes and metaphors, in context. b. Recognize and explain the meaning of common idioms, adages, and proverbs. c. Use the relationship between particular words (e.g., synonyms, antonyms, homographs) to better understand each of the words.",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.K.6,CA-CCSS-ELA-2013,L.1.6,,0,1,L | 6 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts.","Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
CA-CCSS-ELA-2013,L.1.6,CA-CCSS-ELA-2013,L.2.6,,1,2,L | 6 | ,Identifier match only: same strand/domain and number in adjacent grades. Prerequisite relationship is unverified; review both standards before assigning a relation.,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because).","Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using adjectives and adverbs to describe (e.g., When other kids are happy that makes me happy).",https://www2.cde.ca.gov/cacs/ela,https://www2.cde.ca.gov/cacs/ela
