framework_id,code,grade,grade_range,art_type,subdiscipline,artistic_process,anchor_standard,enduring_understanding,essential_questions,process_components,performance_standards,source_url,page,raw_text
CA-VAPA-2019,PK.DA:Cn11,TK,,Dance,,Connecting,"11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding","Dance literacy includes deep knowledge and perspectives about societal, cultural, historical, and community contexts.","How does knowing about societal, cultural, historical and community experiences expand dance literacy?",Relate,Show a dance movement experienced at home or elsewhere.,https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.DA:Cn11
Grade: TK
Discipline: Dance
Artistic Process: ConnectingAnchor Standard: 11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding

Enduring Understanding: Dance literacy includes deep knowledge and perspectives about societal, cultural, historical, and community contexts.
Essential Question(s): How does knowing about societal, cultural, historical and community experiences expand dance literacy?
Process Component(s): Relate

Performance Standard(s):
Show a dance movement experienced at home or elsewhere.
"
CA-VAPA-2019,PK.MA:Cr1,TK,,Media Arts,,Creating,1: Generate and conceptualize artistic ideas and work,"Media arts ideas, works, and processes are shaped by the imagination, creative processes, and by experiences, both within and outside of the arts.",How do media artists generate ideas? How can ideas for media arts productions be formed and developed to be effective and original?,Conceive,"Share ideas for media artworks through guided exploration of tools, methods, and imagining.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MA:Cr1
Grade: TK
Discipline: Media Arts
Artistic Process: CreatingAnchor Standard: 1: Generate and conceptualize artistic ideas and work

Enduring Understanding: Media arts ideas, works, and processes are shaped by the imagination, creative processes, and by experiences, both within and outside of the arts.
Essential Question(s): How do media artists generate ideas? How can ideas for media arts productions be formed and developed to be effective and original?
Process Component(s): Conceive

Performance Standard(s):
Share ideas for media artworks through guided exploration of tools, methods, and imagining.
"
CA-VAPA-2019,PK.MA:Cr3,TK,,Media Arts,,Creating,3: Refine and complete artistic work,"The forming, integration, and refinement of aesthetic components, principles, and processes creates purpose, meaning, and artistic quality in media artworks.","What is required to produce a media artwork that conveys purpose, meaning, and artistic quality? How do media artists refine their work?",Construct,"a. Make and capture media arts content, freely and in guided practice, in media arts productions.
b. Attempt and share expressive effects, freely and in guided practice, in creating media",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MA:Cr3
Grade: TK
Discipline: Media Arts
Artistic Process: CreatingAnchor Standard: 3: Refine and complete artistic work

Enduring Understanding: The forming, integration, and refinement of aesthetic components, principles, and processes creates purpose, meaning, and artistic quality in media artworks.
Essential Question(s): What is required to produce a media artwork that conveys purpose, meaning, and artistic quality? How do media artists refine their work?
Process Component(s): Construct

Performance Standard(s):
a. Make and capture media arts content, freely and in guided practice, in media arts productions.
b. Attempt and share expressive effects, freely and in guided practice, in creating media 
"
CA-VAPA-2019,PK.MA:Cr2,TK,,Media Arts,,Creating,2: Organize and develop artistic ideas and work,"Media artists plan, organize, and develop creative ideas and models into process structures that can effectively realize the artistic idea.",How do media artists organize and develop ideas and models into process structures to achieve the desired end product?,Develop,"With guidance, form ideas into plans or models for media arts productions.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MA:Cr2
Grade: TK
Discipline: Media Arts
Artistic Process: CreatingAnchor Standard: 2: Organize and develop artistic ideas and work

Enduring Understanding: Media artists plan, organize, and develop creative ideas and models into process structures that can effectively realize the artistic idea.
Essential Question(s): How do media artists organize and develop ideas and models into process structures to achieve the desired end product?
Process Component(s): Develop

Performance Standard(s):
With guidance, form ideas into plans or models for media arts productions.
"
CA-VAPA-2019,PK.MA:Pr4,TK,,Media Arts,,Producing (Media Arts only),"4. Select, analyze, and interpret artistic work for presentation","Media artists integrate various forms and contents to develop complex, unified artworks.",How are complex media arts experiences constructed?,Integrate,"With guidance, combine different forms and content, such as image and sound, to form media artworks.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MA:Pr4
Grade: TK
Discipline: Media Arts
Artistic Process: Producing (Media Arts only)Anchor Standard: 4. Select, analyze, and interpret artistic work for presentation

Enduring Understanding: Media artists integrate various forms and contents to develop complex, unified artworks.
Essential Question(s): How are complex media arts experiences constructed?
Process Component(s): Integrate

Performance Standard(s):
With guidance, combine different forms and content, such as image and sound, to form media artworks.
"
CA-VAPA-2019,PK.MA:Pr5,TK,,Media Arts,,Producing (Media Arts only),5: Develop and refine artistic techniques and work for presentation,Media artists require a range of skills and abilities to creatively solve problems within and through media arts productions.,What skills are required for creating effective media artworks and how are they improved? How are creativity and innovation developed within and through media arts productions? How do media artists use various tools and techniques?,Practice,"a. Use identified skills, such as manipulating tools, making choices, and sharing, in creating media artworks.
b. Use identified creative skills, such as imagining, freely and in guided practice, within media arts productions.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MA:Pr5
Grade: TK
Discipline: Media Arts
Artistic Process: Producing (Media Arts only)Anchor Standard: 5: Develop and refine artistic techniques and work for presentation

Enduring Understanding: Media artists require a range of skills and abilities to creatively solve problems within and through media arts productions.
Essential Question(s): What skills are required for creating effective media artworks and how are they improved? How are creativity and innovation developed within and through media arts productions? How do media artists use various tools and techniques?
Process Component(s): Practice

Performance Standard(s):
a. Use identified skills, such as manipulating tools, making choices, and sharing, in creating media artworks.
b. Use identified creative skills, such as imagining, freely and in guided practice, within media arts productions.
"
CA-VAPA-2019,PK.MA:Pr6,TK,,Media Arts,,Producing (Media Arts only),6: Convey meaning through the presentation of artistic work,"Media artists purposefully present, share, and distribute media artworks for various contexts.","How does time, place, audience, and context affect presenting or performing choices for media artworks?",Present,"With guidance, discuss the situation and participate in presenting media artworks to an audience.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MA:Pr6
Grade: TK
Discipline: Media Arts
Artistic Process: Producing (Media Arts only)Anchor Standard: 6: Convey meaning through the presentation of artistic work

Enduring Understanding: Media artists purposefully present, share, and distribute media artworks for various contexts.
Essential Question(s): How does time, place, audience, and context affect presenting or performing choices for media artworks?
Process Component(s): Present

Performance Standard(s):
With guidance, discuss the situation and participate in presenting media artworks to an audience.
"
CA-VAPA-2019,PK.MA:Re7,TK,,Media Arts,,Responding,7: Perceive and analyze artistic work,Identifying the qualities and characteristics of media artworks improves one's artistic appreciation and production.,How do we 'read' media artworks and discern their relational components? How do media artworks function to convey meaning and manage audience experience?,Perceive,"a. With guidance, explore and discuss components and messages in a variety of media artworks.
b. With guidance, explore media artworks and discuss experiences.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MA:Re7
Grade: TK
Discipline: Media Arts
Artistic Process: RespondingAnchor Standard: 7: Perceive and analyze artistic work

Enduring Understanding: Identifying the qualities and characteristics of media artworks improves one's artistic appreciation and production.
Essential Question(s): How do we 'read' media artworks and discern their relational components? How do media artworks function to convey meaning and manage audience experience?
Process Component(s): Perceive

Performance Standard(s):
a. With guidance, explore and discuss components and messages in a variety of media artworks.
b. With guidance, explore media artworks and discuss experiences.
"
CA-VAPA-2019,PK.MA:Re8,TK,,Media Arts,,Responding,8: Interpret intent and meaning in artistic work,"Interpretation and appreciation require consideration of the intent, form, and context of the media and artwork.",How do people relate to and interpret media artworks?,Interpret,"With guidance, share reactions to media artworks.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MA:Re8
Grade: TK
Discipline: Media Arts
Artistic Process: RespondingAnchor Standard: 8: Interpret intent and meaning in artistic work

Enduring Understanding: Interpretation and appreciation require consideration of the intent, form, and context of the media and artwork.
Essential Question(s): How do people relate to and interpret media artworks?
Process Component(s): Interpret

Performance Standard(s):
With guidance, share reactions to media artworks.
"
CA-VAPA-2019,PK.MA:Re9,TK,,Media Arts,,Responding,9: Apply criteria to evaluate artistic work,"Skillful evaluation and critique are critical components of experiencing, appreciating, and producing media artworks.",How and why do media artists value and judge media artworks? When and how should we evaluate and critique media artworks to improve them?,Evaluate,"With guidance, examine and share appealing qualities in media artworks.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MA:Re9
Grade: TK
Discipline: Media Arts
Artistic Process: RespondingAnchor Standard: 9: Apply criteria to evaluate artistic work

Enduring Understanding: Skillful evaluation and critique are critical components of experiencing, appreciating, and producing media artworks.
Essential Question(s): How and why do media artists value and judge media artworks? When and how should we evaluate and critique media artworks to improve them?
Process Component(s): Evaluate

Performance Standard(s):
With guidance, examine and share appealing qualities in media artworks.
"
CA-VAPA-2019,PK.MA:Cn10,TK,,Media Arts,,Connecting,10: Synthesize and relate knowledge and personal experiences to make art,: Media artworks synthesize meaning and form cultural experience.,How do we relate knowledge and experiences to understanding and making media artworks? How do we learn about and create meaning through producing media artworks?,Synthesize,"a. Use personal experiences in making media artworks.
b. With guidance, share experiences of media artworks.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MA:Cn10
Grade: TK
Discipline: Media Arts
Artistic Process: ConnectingAnchor Standard: 10: Synthesize and relate knowledge and personal experiences to make art

Enduring Understanding: : Media artworks synthesize meaning and form cultural experience.
Essential Question(s): How do we relate knowledge and experiences to understanding and making media artworks? How do we learn about and create meaning through producing media artworks?
Process Component(s): Synthesize

Performance Standard(s):
a. Use personal experiences in making media artworks.
b. With guidance, share experiences of media artworks.
"
CA-VAPA-2019,PK.MA:Cn11,TK,,Media Arts,,Connecting,"11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding","Media artworks and ideas are better understood and produced by relating them to their purposes, values, and various contexts.","How does media arts relate to its various contexts, purposes, and values? How does investigating these relationships inform and deepen the media artist's understanding and work?",Relate,"a. With guidance, relate media artworks and everyday life.
b. With guidance, interact safely and appropriately with media arts tools and environments.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MA:Cn11
Grade: TK
Discipline: Media Arts
Artistic Process: ConnectingAnchor Standard: 11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding

Enduring Understanding: Media artworks and ideas are better understood and produced by relating them to their purposes, values, and various contexts.
Essential Question(s): How does media arts relate to its various contexts, purposes, and values? How does investigating these relationships inform and deepen the media artist's understanding and work?
Process Component(s): Relate

Performance Standard(s):
a. With guidance, relate media artworks and everyday life.
b. With guidance, interact safely and appropriately with media arts tools and environments.
"
CA-VAPA-2019,PK.MU:Cr1,TK,,Music,TK-8,Creating,1: Generate and conceptualize artistic ideas and work,"The creative ideas, concepts, and feelings that influence musicians’ work emerge from a variety of sources.",How do musicians generate creative ideas?,Imagine,"a. With substantial guidance, explore and experience a variety of music.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MU:Cr1
Grade: TK
Discipline: MusicSubdiscipline: TK-8
Artistic Process: CreatingAnchor Standard: 1: Generate and conceptualize artistic ideas and work

Enduring Understanding: The creative ideas, concepts, and feelings that influence musicians’ work emerge from a variety of sources.
Essential Question(s): How do musicians generate creative ideas?
Process Component(s): Imagine

Performance Standard(s):
a. With substantial guidance, explore and experience a variety of music.
"
CA-VAPA-2019,PK.MU:Cr2,TK,,Music,TK-8,Creating,2: Organize and develop artistic ideas and work,"Musicians’ creative choices are influenced by their expertise, context, and expressive intent",How do musicians make creative decisions?,Plan & Make,"a. With substantial guidance, explore favorite musical ideas (such as movements, vocalizations, or instrumental accompaniments).
b. With substantial guidance, select and keep track of the order for performing original musical ideas, using iconic notation and/or recording technology.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MU:Cr2
Grade: TK
Discipline: MusicSubdiscipline: TK-8
Artistic Process: CreatingAnchor Standard: 2: Organize and develop artistic ideas and work

Enduring Understanding: Musicians’ creative choices are influenced by their expertise, context, and expressive intent
Essential Question(s): How do musicians make creative decisions?
Process Component(s): Plan & Make

Performance Standard(s):
a. With substantial guidance, explore favorite musical ideas (such as movements, vocalizations, or instrumental accompaniments).
b. With substantial guidance, select and keep track of the order for performing original musical ideas, using iconic notation and/or recording technology.
"
CA-VAPA-2019,PK.MU:Cr3.1,TK,,Music,TK-8,Creating,3: Refine and complete artistic work,"3.1 Musicians evaluate, and refine their work through openness to new ideas, persistence, and the application of appropriate criteria.",How do musicians improve the quality of their creative work?,Evaluate and Refine,"With substantial guidance, consider personal, peer, and teacher feedback when demonstrating and refining personal musical ideas.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MU:Cr3.1
Grade: TK
Discipline: MusicSubdiscipline: TK-8
Artistic Process: CreatingAnchor Standard: 3: Refine and complete artistic work

Enduring Understanding: 3.1 Musicians evaluate, and refine their work through openness to new ideas, persistence, and the application of appropriate criteria.
Essential Question(s): How do musicians improve the quality of their creative work?
Process Component(s): Evaluate and Refine

Performance Standard(s):
With substantial guidance, consider personal, peer, and teacher feedback when demonstrating and refining personal musical ideas.
"
CA-VAPA-2019,PK.MU:Cr3.2,TK,,Music,TK-8,Creating,3: Refine and complete artistic work,3.2 Musicians’ presentation of creative work is the culmination of a process of creation and communication.,When is creative work ready to share?,Present,"With substantial guidance, share revised personal musical ideas with peers.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MU:Cr3.2
Grade: TK
Discipline: MusicSubdiscipline: TK-8
Artistic Process: CreatingAnchor Standard: 3: Refine and complete artistic work

Enduring Understanding: 3.2 Musicians’ presentation of creative work is the culmination of a process of creation and communication.
Essential Question(s): When is creative work ready to share?
Process Component(s): Present

Performance Standard(s):
With substantial guidance, share revised personal musical ideas with peers.
"
CA-VAPA-2019,PK.MU:Pr4.1,TK,,Music,TK-8,Performing,"4. Select, analyze, and interpret artistic work for presentation","4.1 Performers’ interest in and knowledge of musical works, understanding of their own technical skill, and the context for a performance influence the selection of repertoire.",How do performers select repertoire?,Select,"With substantial guidance, demonstrate and state personal interest in varied musical selections.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MU:Pr4.1
Grade: TK
Discipline: MusicSubdiscipline: TK-8
Artistic Process: PerformingAnchor Standard: 4. Select, analyze, and interpret artistic work for presentation

Enduring Understanding: 4.1 Performers’ interest in and knowledge of musical works, understanding of their own technical skill, and the context for a performance influence the selection of repertoire.
Essential Question(s): How do performers select repertoire?
Process Component(s): Select

Performance Standard(s):
With substantial guidance, demonstrate and state personal interest in varied musical selections.
"
CA-VAPA-2019,PK.MU:Pr4.2,TK,,Music,TK-8,Performing,"4. Select, analyze, and interpret artistic work for presentation",4.2 Analyzing creators’ context and how they manipulate elements of music provides insight into their intent and informs performance.,How does understanding the structure and context of musical works inform performance?,Analyze,"a. With substantial guidance, explore and demonstrate awareness of musical contrasts such as high/low, loud/soft, fast/slow.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MU:Pr4.2
Grade: TK
Discipline: MusicSubdiscipline: TK-8
Artistic Process: PerformingAnchor Standard: 4. Select, analyze, and interpret artistic work for presentation

Enduring Understanding: 4.2 Analyzing creators’ context and how they manipulate elements of music provides insight into their intent and informs performance.
Essential Question(s): How does understanding the structure and context of musical works inform performance?
Process Component(s): Analyze

Performance Standard(s):
a. With substantial guidance, explore and demonstrate awareness of musical contrasts such as high/low, loud/soft, fast/slow.
"
CA-VAPA-2019,PK.MU:Pr4.3,TK,,Music,TK-8,Performing,"4. Select, analyze, and interpret artistic work for presentation",4.3 Performers make interpretive decisions based on their understanding of context and expressive intent.,How do performers interpret musical works?,Interpret,"With substantial guidance, explore music’s expressive qualities (such as voice quality, dynamics, and tempo).",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MU:Pr4.3
Grade: TK
Discipline: MusicSubdiscipline: TK-8
Artistic Process: PerformingAnchor Standard: 4. Select, analyze, and interpret artistic work for presentation

Enduring Understanding: 4.3 Performers make interpretive decisions based on their understanding of context and expressive intent.
Essential Question(s): How do performers interpret musical works?
Process Component(s): Interpret

Performance Standard(s):
With substantial guidance, explore music’s expressive qualities (such as voice quality, dynamics, and tempo).
"
CA-VAPA-2019,PK.MU:Pr5,TK,,Music,TK-8,Performing,5: Develop and refine artistic techniques and work for presentation,"To express their musical ideas, musicians analyze, evaluate, and refine their performance over time through openness to new ideas, persistence, and the application of appropriate criteria.",How do musicians improve the quality of their performance?,"Rehearse, Evaluate, and Refine","a. With substantial guidance, practice and demonstrate what they like about their own performances.
b. With substantial guidance, apply personal, peer, and teacher feedback to refine performances.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MU:Pr5
Grade: TK
Discipline: MusicSubdiscipline: TK-8
Artistic Process: PerformingAnchor Standard: 5: Develop and refine artistic techniques and work for presentation

Enduring Understanding: To express their musical ideas, musicians analyze, evaluate, and refine their performance over time through openness to new ideas, persistence, and the application of appropriate criteria.
Essential Question(s): How do musicians improve the quality of their performance?
Process Component(s): Rehearse, Evaluate, and Refine

Performance Standard(s):
a. With substantial guidance, practice and demonstrate what they like about their own performances.
b. With substantial guidance, apply personal, peer, and teacher feedback to refine performances.
"
CA-VAPA-2019,PK.MU:Pr6,TK,,Music,TK-8,Performing,6: Convey meaning through the presentation of artistic work,"Musicians judge performance based on criteria that vary across time, place, and cultures. The context and how a work is presented influence audience response.",When is a performance judged ready to present? How do context and the manner in which musical work is presented influence audience response?,Present,"a. With substantial guidance, perform music with expression.
b. With substantial guidance, demonstrate performance decorum appropriate for the audience.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MU:Pr6
Grade: TK
Discipline: MusicSubdiscipline: TK-8
Artistic Process: PerformingAnchor Standard: 6: Convey meaning through the presentation of artistic work

Enduring Understanding: Musicians judge performance based on criteria that vary across time, place, and cultures. The context and how a work is presented influence audience response.
Essential Question(s): When is a performance judged ready to present? How do context and the manner in which musical work is presented influence audience response?
Process Component(s): Present

Performance Standard(s):
a. With substantial guidance, perform music with expression.
b. With substantial guidance, demonstrate performance decorum appropriate for the audience.
"
CA-VAPA-2019,PK.MU:Cn11,TK,,Music,TK-8,Connecting,"11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding","Musicians connect societal, cultural, and historical contexts when creating, performing, and responding.","How do musicians make meaningful connections to societal, cultural, and historical contexts when creating, performing, and responding?",Relate,With substantial guidance explore connections between music and culture.,https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MU:Cn11
Grade: TK
Discipline: MusicSubdiscipline: TK-8
Artistic Process: ConnectingAnchor Standard: 11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding

Enduring Understanding: Musicians connect societal, cultural, and historical contexts when creating, performing, and responding.
Essential Question(s): How do musicians make meaningful connections to societal, cultural, and historical contexts when creating, performing, and responding?
Process Component(s): Relate

Performance Standard(s):
With substantial guidance explore connections between music and culture.
"
CA-VAPA-2019,PK.MU:Re7.1,TK,,Music,TK-8,Responding,7: Perceive and analyze artistic work,"7.1 Individuals' selection of musical works is influenced by their interests, experiences, understandings, and purposes.",How do individuals choose music to experience?,Select,"With substantial guidance, state personal interests and demonstrate why they prefer some music selections over others.",https://www.cde.ca.gov/be/st/ss/index.asp,,"Standard Identifier: PK.MU:Re7.1
Grade: TK
Discipline: MusicSubdiscipline: TK-8
Artistic Process: RespondingAnchor Standard: 7: Perceive and analyze artistic work

Enduring Understanding: 7.1 Individuals' selection of musical works is influenced by their interests, experiences, understandings, and purposes.
Essential Question(s): How do individuals choose music to experience?
Process Component(s): Select

Performance Standard(s):
With substantial guidance, state personal interests and demonstrate why they prefer some music selections over others.
"
