framework_id,code,grade,cluster,overarching_standard_code,overarching_standard,text,source_url,page,raw_text
CA-PE-2005,PE-K.1.5,0,Body Management,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,Create shapes by using nonlocomotor movements.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.5
Grade: K
Cluster: Body Management

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Create shapes by using nonlocomotor movements.
"
CA-PE-2005,PE-K.1.6,0,Body Management,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Balance on one, two, three, four, and ﬁve body parts.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.6
Grade: K
Cluster: Body Management

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Balance on one, two, three, four, and ﬁve body parts.
"
CA-PE-2005,PE-K.1.7,0,Body Management,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Balance while walking forward and sideways on a narrow, elevated surface.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.7
Grade: K
Cluster: Body Management

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Balance while walking forward and sideways on a narrow, elevated surface.
"
CA-PE-2005,PE-K.1.8,0,Body Management,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Demonstrate the relationship of under, over, behind, next to, through, right, left, up, down, forward, backward, and in front of by using the body and an object.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.8
Grade: K
Cluster: Body Management

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Demonstrate the relationship of under, over, behind, next to, through, right, left, up, down, forward, backward, and in front of by using the body and an object.
"
CA-PE-2005,PE-K.1.9,0,Locomotor Movement,PE-K.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,Perform a continuous log roll.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.1.9
Grade: K
Cluster: Locomotor Movement

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Perform a continuous log roll.
"
CA-PE-2005,PE-K.2,0,,,,"Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.2
Grade: K

Standard:
Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.
"
CA-PE-2005,PE-K.2.1,0,Movement Concepts,PE-K.2,"Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.","Explain the difference between under and over, behind and in front of, next to and through, up and down, forward and backward, and sideways.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.2.1
Grade: K
Cluster: Movement Concepts

Overarching Standard:
Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.

Standard:
Explain the difference between under and over, behind and in front of, next to and through, up and down, forward and backward, and sideways.
"
CA-PE-2005,PE-K.2.2,0,Movement Concepts,PE-K.2,"Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.","Identify and independently use personal space, general space, and boundaries and discuss why they are important.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.2.2
Grade: K
Cluster: Movement Concepts

Overarching Standard:
Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.

Standard:
Identify and independently use personal space, general space, and boundaries and discuss why they are important.
"
CA-PE-2005,PE-K.2.3,0,Body Management,PE-K.2,"Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.","Identify and describe parts of the body: the head, shoulders, neck, back, chest, waist, hips, arms, elbows, wrists, hands, ﬁngers, legs, knees, ankles, feet, and toes.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.2.3
Grade: K
Cluster: Body Management

Overarching Standard:
Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.

Standard:
Identify and describe parts of the body: the head, shoulders, neck, back, chest, waist, hips, arms, elbows, wrists, hands, ﬁngers, legs, knees, ankles, feet, and toes.
"
CA-PE-2005,PE-K.2.4,0,Body Management,PE-K.2,"Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.",Explain base of support.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.2.4
Grade: K
Cluster: Body Management

Overarching Standard:
Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.

Standard:
Explain base of support.
"
CA-PE-2005,PE-K.2.5,0,Locomotor Movement,PE-K.2,"Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.","Identify the locomotor skills of walk, jog, run, hop, jump, slide, and gallop.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.2.5
Grade: K
Cluster: Locomotor Movement

Overarching Standard:
Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.

Standard:
Identify the locomotor skills of walk, jog, run, hop, jump, slide, and gallop.
"
CA-PE-2005,PE-K.2.6,0,Manipulative Skills,PE-K.2,"Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.","Explain the role of the eyes when striking objects with the hands, arms, and feet.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.2.6
Grade: K
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.

Standard:
Explain the role of the eyes when striking objects with the hands, arms, and feet.
"
CA-PE-2005,PE-K.2.7,0,Manipulative Skills,PE-K.2,"Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.",Identify the point of contact for kicking a ball in a straight line.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.2.7
Grade: K
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.

Standard:
Identify the point of contact for kicking a ball in a straight line.
"
CA-PE-2005,PE-K.2.8,0,Manipulative Skills,PE-K.2,"Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.",Describe the position of the fingers in the follow-through phase of bouncing a ball continuously.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.2.8
Grade: K
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate knowledge of movement concepts, principles, and strategies that apply to the learning and performance of physical activities.

Standard:
Describe the position of the fingers in the follow-through phase of bouncing a ball continuously.
"
CA-PE-2005,PE-K.3,0,,,,Students assess and maintain a level of physical fitness to improve health and performance.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.3
Grade: K

Standard:
Students assess and maintain a level of physical fitness to improve health and performance.
"
CA-PE-2005,PE-K.3.1,0,Fitness Concepts,PE-K.3,Students assess and maintain a level of physical fitness to improve health and performance.,Participate in physical activities that are enjoyable and challenging.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.3.1
Grade: K
Cluster: Fitness Concepts

Overarching Standard:
Students assess and maintain a level of physical fitness to improve health and performance.

Standard:
Participate in physical activities that are enjoyable and challenging.
"
CA-PE-2005,PE-K.3.2,0,Aerobic Capacity,PE-K.3,Students assess and maintain a level of physical fitness to improve health and performance.,Participate three to four days each week in moderate to vigorous physical activities that increase breathing and heart rate.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.3.2
Grade: K
Cluster: Aerobic Capacity

Overarching Standard:
Students assess and maintain a level of physical fitness to improve health and performance.

Standard:
Participate three to four days each week in moderate to vigorous physical activities that increase breathing and heart rate.
"
CA-PE-2005,PE-K.3.3,0,Muscular Strength/Endurance,PE-K.3,Students assess and maintain a level of physical fitness to improve health and performance.,Hang from overhead bars for increasing periods of time.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.3.3
Grade: K
Cluster: Muscular Strength/Endurance

Overarching Standard:
Students assess and maintain a level of physical fitness to improve health and performance.

Standard:
Hang from overhead bars for increasing periods of time.
"
CA-PE-2005,PE-K.3.4,0,Muscular Strength/Endurance,PE-K.3,Students assess and maintain a level of physical fitness to improve health and performance.,"Climb a ladder, jungle gym, or apparatus.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.3.4
Grade: K
Cluster: Muscular Strength/Endurance

Overarching Standard:
Students assess and maintain a level of physical fitness to improve health and performance.

Standard:
Climb a ladder, jungle gym, or apparatus.
"
CA-PE-2005,PE-K.3.5,0,Flexibility,PE-K.3,Students assess and maintain a level of physical fitness to improve health and performance.,"Stretch shoulders, legs, arms, and back without bouncing.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.3.5
Grade: K
Cluster: Flexibility

Overarching Standard:
Students assess and maintain a level of physical fitness to improve health and performance.

Standard:
Stretch shoulders, legs, arms, and back without bouncing.
"
CA-PE-2005,PE-K.3.6,0,Body Composition,PE-K.3,Students assess and maintain a level of physical fitness to improve health and performance.,Sustain continuous movement for increasing periods of time while participating in moderate to vigorous physical activity.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.3.6
Grade: K
Cluster: Body Composition

Overarching Standard:
Students assess and maintain a level of physical fitness to improve health and performance.

Standard:
Sustain continuous movement for increasing periods of time while participating in moderate to vigorous physical activity.
"
CA-PE-2005,PE-K.3.7,0,Assessment,PE-K.3,Students assess and maintain a level of physical fitness to improve health and performance.,Identify indicators of increased capacity to participate in vigorous physical activity.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.3.7
Grade: K
Cluster: Assessment

Overarching Standard:
Students assess and maintain a level of physical fitness to improve health and performance.

Standard:
Identify indicators of increased capacity to participate in vigorous physical activity.
"
CA-PE-2005,PE-K.4,0,,,,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.4
Grade: K

Standard:
Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.
"
CA-PE-2005,PE-K.4.1,0,Fitness Concepts,PE-K.4,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.",Identify physical activities that are enjoyable and challenging.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.4.1
Grade: K
Cluster: Fitness Concepts

Overarching Standard:
Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.

Standard:
Identify physical activities that are enjoyable and challenging.
"
CA-PE-2005,PE-K.4.10,0,Body Composition,PE-K.4,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.","Explain that the body is composed of bones, organs, fat, and other tissues.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.4.10
Grade: K
Cluster: Body Composition

Overarching Standard:
Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.

Standard:
Explain that the body is composed of bones, organs, fat, and other tissues.
"
CA-PE-2005,PE-K.4.2,0,Fitness Concepts,PE-K.4,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.",Describe the role of water as an essential nutrient for the body.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.4.2
Grade: K
Cluster: Fitness Concepts

Overarching Standard:
Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.

Standard:
Describe the role of water as an essential nutrient for the body.
"
CA-PE-2005,PE-K.4.3,0,Fitness Concepts,PE-K.4,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.",Explain that nutritious food provides energy for physical activity.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.4.3
Grade: K
Cluster: Fitness Concepts

Overarching Standard:
Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.

Standard:
Explain that nutritious food provides energy for physical activity.
"
CA-PE-2005,PE-K.4.4,0,Aerobic Capacity,PE-K.4,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.",Identify the location of the heart and explain that it is a muscle.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.4.4
Grade: K
Cluster: Aerobic Capacity

Overarching Standard:
Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.

Standard:
Identify the location of the heart and explain that it is a muscle.
"
CA-PE-2005,PE-K.4.5,0,Aerobic Capacity,PE-K.4,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.",Explain that physical activity increases the heart rate.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.4.5
Grade: K
Cluster: Aerobic Capacity

Overarching Standard:
Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.

Standard:
Explain that physical activity increases the heart rate.
"
CA-PE-2005,PE-K.4.6,0,Aerobic Capacity,PE-K.4,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.",Identify the location of the lungs and explain the role of the lungs in the collection of oxygen.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.4.6
Grade: K
Cluster: Aerobic Capacity

Overarching Standard:
Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.

Standard:
Identify the location of the lungs and explain the role of the lungs in the collection of oxygen.
"
CA-PE-2005,PE-K.4.7,0,Muscular Strength/Endurance,PE-K.4,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.","Explain that strong muscles help the body to climb, hang, push, and pull.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.4.7
Grade: K
Cluster: Muscular Strength/Endurance

Overarching Standard:
Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.

Standard:
Explain that strong muscles help the body to climb, hang, push, and pull.
"
CA-PE-2005,PE-K.4.8,0,Muscular Strength/Endurance,PE-K.4,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.",Describe the role of muscles in moving the bones.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.4.8
Grade: K
Cluster: Muscular Strength/Endurance

Overarching Standard:
Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.

Standard:
Describe the role of muscles in moving the bones.
"
CA-PE-2005,PE-K.4.9,0,Flexibility,PE-K.4,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.",Identify the body part involved when stretching.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.4.9
Grade: K
Cluster: Flexibility

Overarching Standard:
Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.

Standard:
Identify the body part involved when stretching.
"
CA-PE-2005,PE-K.5,0,,,,"Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.5
Grade: K

Standard:
Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.
"
CA-PE-2005,PE-K.5.1,0,Self-Responsibility,PE-K.5,"Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.",Identify the feelings that result from participation in physical activity.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.5.1
Grade: K
Cluster: Self-Responsibility

Overarching Standard:
Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.

Standard:
Identify the feelings that result from participation in physical activity.
"
CA-PE-2005,PE-K.5.2,0,Self-Responsibility,PE-K.5,"Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.",Participate willingly in physical activities.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.5.2
Grade: K
Cluster: Self-Responsibility

Overarching Standard:
Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.

Standard:
Participate willingly in physical activities.
"
CA-PE-2005,PE-K.5.3,0,Social Interaction,PE-K.5,"Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.",Demonstrate the characteristics of sharing in a physical activity.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.5.3
Grade: K
Cluster: Social Interaction

Overarching Standard:
Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.

Standard:
Demonstrate the characteristics of sharing in a physical activity.
"
CA-PE-2005,PE-K.5.4,0,Social Interaction,PE-K.5,"Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.",Describe how positive social interaction can make physical activity with others more fun.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.5.4
Grade: K
Cluster: Social Interaction

Overarching Standard:
Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.

Standard:
Describe how positive social interaction can make physical activity with others more fun.
"
CA-PE-2005,PE-K.5.5,0,Group Dynamics,PE-K.5,"Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.",Participate as a leader and a follower during physical activities.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-K.5.5
Grade: K
Cluster: Group Dynamics

Overarching Standard:
Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.

Standard:
Participate as a leader and a follower during physical activities.
"
CA-PE-2005,PE-1.1,1,,,,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-1.1
Grade: 1

Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.
"
CA-PE-2005,PE-1.1.1,1,Movement Concepts,PE-1.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Demonstrate an awareness of personal space, general space, and boundaries while moving in different directions and at high, medium, and low levels in space.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-1.1.1
Grade: 1
Cluster: Movement Concepts

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Demonstrate an awareness of personal space, general space, and boundaries while moving in different directions and at high, medium, and low levels in space.
"
CA-PE-2005,PE-1.1.10,1,Manipulative Skills,PE-1.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,Demonstrate the underhand movement (throw) pattern.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-1.1.10
Grade: 1
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Demonstrate the underhand movement (throw) pattern.
"
CA-PE-2005,PE-1.1.11,1,Manipulative Skills,PE-1.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,Demonstrate the overhand movement (throw) pattern.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-1.1.11
Grade: 1
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Demonstrate the overhand movement (throw) pattern.
"
CA-PE-2005,PE-1.1.12,1,Manipulative Skills,PE-1.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,Demonstrate the two-handed overhead (throw) pattern.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-1.1.12
Grade: 1
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Demonstrate the two-handed overhead (throw) pattern.
"
CA-PE-2005,PE-1.1.13,1,Manipulative Skills,PE-1.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,"Catch, showing proper form, a gently thrown ball.",https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-1.1.13
Grade: 1
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Catch, showing proper form, a gently thrown ball.
"
CA-PE-2005,PE-1.1.14,1,Manipulative Skills,PE-1.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,Catch a self-tossed ball.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-1.1.14
Grade: 1
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Catch a self-tossed ball.
"
CA-PE-2005,PE-1.1.15,1,Manipulative Skills,PE-1.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,Catch a self-bounced ball.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-1.1.15
Grade: 1
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Catch a self-bounced ball.
"
CA-PE-2005,PE-1.1.16,1,Manipulative Skills,PE-1.1,Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.,Kick a rolled ball from a stationary position.,https://www2.cde.ca.gov/cacs/pe,,"Standard Identifier: PE-1.1.16
Grade: 1
Cluster: Manipulative Skills

Overarching Standard:
Students demonstrate the motor skills and movement patterns needed to perform a variety of physical activities.

Standard:
Kick a rolled ball from a stationary position.
"
